screen_name,created_at,tweet_id,text,extended_tweet,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,favorite_count,truncated,language
thermofisher,5/21/2020 13:10,1.26346E+18,"The world around us is changing rapidly, but our commitment to you remains the same. Supply Center provides onsite… https://t.co/J5eRKhRsWk","The world around us is changing rapidly, but our commitment to you remains the same. Supply Center provides onsite… https://t.co/J5eRKhRsWk",,,1,1,,en
McCormickCorp,4/13/2020 14:50,1.24971E+18,"You asked, we answered. Don't know what to make with the ingredients in your pantry? The best way to season plain c… https://t.co/7Q5rrBrcMx","You asked, we answered. Don't know what to make with the ingredients in your pantry? The best way to season plain c… https://t.co/7Q5rrBrcMx",,,6,20,,en
Nasdaq,2/13/2020 18:00,1.22802E+18,"What are Vittorio Pracca’s top priorities as #IRO of Azimut? 

✅ “Make sure the investment community gets the equit… https://t.co/s0ZRxboVno","What are Vittorio Pracca’s top priorities as #IRO of Azimut? 

✅ “Make sure the investment community gets the equit… https://t.co/s0ZRxboVno",,,2,5,,en
UHS_Inc,6/19/2020 18:27,1.27405E+18,"""Nursing has always been my calling,"" says Ruthmarie Deglane, RN, Quail Run Behavioral Health. ""I felt inspired by… https://t.co/BDvfjcZb5g","""Nursing has always been my calling,"" says Ruthmarie Deglane, RN, Quail Run Behavioral Health. ""I felt inspired by… https://t.co/BDvfjcZb5g",,,0,3,,en
Accenture,4/14/2020 16:04,1.25009E+18,Introducing People + Work Connect—an online employer-to-employer platform that enables companies to quickly identif… https://t.co/fD9Nw7OVRL,Introducing People + Work Connect—an online employer-to-employer platform that enables companies to quickly identif… https://t.co/fD9Nw7OVRL,,,53,86,,en
Nike,2/5/2020 23:43,1.2252E+18,Pictured: 32 reasons to believe anything is possible. #Nike2020 https://t.co/YYHL42pKpH,Pictured: 32 reasons to believe anything is possible. #Nike2020 https://t.co/YYHL42pKpH,,,926,4834,,en
MolsonCoors,1/9/2020 23:30,1.21542E+18,It’s officially #ThirstyThursday. Which one are you reaching for? https://t.co/Eiso0ksuoX,It’s officially #ThirstyThursday. Which one are you reaching for? https://t.co/Eiso0ksuoX,,,8,60,,en
bakerhughesco,2/26/2020 20:11,1.23276E+18,We're excited to have our very own @LorettaBersani share her thoughts on talent growth and represent us at… https://t.co/5YKD3mJFRP,We're excited to have our very own @LorettaBersani share her thoughts on talent growth and represent us at… https://t.co/5YKD3mJFRP,,,1,11,,en
DiscoveryIncTV,2/26/2020 17:00,1.23271E+18,"‘Extreme Makeover: Home Edition’ has officially kicked off on @hgtv and the premiere episode was a hit, bringing in… https://t.co/tsEzSchAhs","‘Extreme Makeover: Home Edition’ has officially kicked off on @hgtv and the premiere episode was a hit, bringing in… https://t.co/tsEzSchAhs",,,1,3,,en
Paycom,1/4/2020 1:05,1.21327E+18,"In the competitive job market, you must overcome both the skills gap and the tight labor market. Level up your work… https://t.co/SstSY6JZqH","In the competitive job market, you must overcome both the skills gap and the tight labor market. Level up your work… https://t.co/SstSY6JZqH",,,0,2,,en
bostonsci,6/23/2020 19:30,1.27551E+18,Patients and health care providers are looking to minimally invasive options to help treat patients during the COVI… https://t.co/DXMYN4nxzH,Patients and health care providers are looking to minimally invasive options to help treat patients during the COVI… https://t.co/DXMYN4nxzH,,,9,25,,en
WTWcorporate,4/22/2020 18:01,1.25302E+18,Companies are exploring ways to test their employees for #COVID19 before they come to work. WTW’s @jlevinscherz off… https://t.co/InxlsdRNpG,Companies are exploring ways to test their employees for #COVID19 before they come to work. WTW’s @jlevinscherz off… https://t.co/InxlsdRNpG,,,1,0,,en
ameriprise,3/31/2020 18:48,1.24506E+18,"Staying invested and focused on long-term goals is probably the best course for investors, according to Ameriprise… https://t.co/BoFraDoBGG","Staying invested and focused on long-term goals is probably the best course for investors, according to Ameriprise… https://t.co/BoFraDoBGG",,,5,7,,en
XilinxInc,6/24/2020 18:53,1.27586E+18,.@VMware validates Xilinx #Alveo #FPGA performance on #vSphere for #MachineLearning Inference. Learn more:… https://t.co/WYRAXj6dJC,.@VMware validates Xilinx #Alveo #FPGA performance on #vSphere for #MachineLearning Inference. Learn more:… https://t.co/WYRAXj6dJC,,,7,9,,en
Cisco,1/18/2020 15:08,1.21855E+18,The #InternetForTheFuture promises a palette of possibilities. Are CIOs prepared? #5G https://t.co/IGFMN1Lv8Q https://t.co/nPrYCsY8E8,The #InternetForTheFuture promises a palette of possibilities. Are CIOs prepared? #5G https://t.co/IGFMN1Lv8Q https://t.co/nPrYCsY8E8,,,8,21,,en
nielsen,2/7/2020 16:46,1.22582E+18,"We're thrilled to welcome Eric Bosco as our new Chief Product Officer for our Global Media division! 

Eric joins u… https://t.co/BMf9UtI9AL","We're thrilled to welcome Eric Bosco as our new Chief Product Officer for our Global Media division! 

Eric joins u… https://t.co/BMf9UtI9AL",,,0,5,,en
DentsplySirona,3/11/2020 11:12,1.2377E+18,"On Sunday, the world celebrated International Women’s Day. We thank all the women and men at Dentsply Sirona who co… https://t.co/8JMg5iYmb1","On Sunday, the world celebrated International Women’s Day. We thank all the women and men at Dentsply Sirona who co… https://t.co/8JMg5iYmb1",,,2,4,,en
Microsoft,5/19/2020 15:27,1.26277E+18,One of the most exciting things about PowerPlatform is how it's also a rapid application development tool for pro d… https://t.co/HlhYc0BTcG,One of the most exciting things about PowerPlatform is how it's also a rapid application development tool for pro d… https://t.co/HlhYc0BTcG,,,63,193,,en
FifthThird,5/28/2020 13:44,1.266E+18,What can businesses do to protect themselves during the COVID-19 pandemic? Here are 7 ways small businesses can nav… https://t.co/hgwJqnEKZX,What can businesses do to protect themselves during the COVID-19 pandemic? Here are 7 ways small businesses can nav… https://t.co/hgwJqnEKZX,,,0,1,,en
TysonFoods,2/6/2020 21:49,1.22554E+18,Meet the Coalition for Global Protein. No one company can solve the world's biggest challenges alone. The industry… https://t.co/WV1Eo7Crn1,Meet the Coalition for Global Protein. No one company can solve the world's biggest challenges alone. The industry… https://t.co/WV1Eo7Crn1,,,265,1994,,en
LockheedMartin,3/24/2020 21:05,1.24256E+18,"An amazing view of #AEHF6, we're looking forward to the launch of this critical national asset! https://t.co/98HrAjXJ8W","An amazing view of #AEHF6, we're looking forward to the launch of this critical national asset! https://t.co/98HrAjXJ8W",,,25,171,,en
McCormickCorp,2/10/2020 20:53,1.22697E+18,"All over the world, our brands deliver great-tasting flavor. And we're bringing that flavor to your feed! Follow us… https://t.co/DTWOznndQe","All over the world, our brands deliver great-tasting flavor. And we're bringing that flavor to your feed! Follow us… https://t.co/DTWOznndQe",,,4,26,,en
WhirlpoolCorp,3/4/2020 19:31,1.23529E+18,"A3: Luxury consumers are upgrading from plastic materials to timeless and long-lasting finishes like leather, metal… https://t.co/qIX2KpPi5H","A3: Luxury consumers are upgrading from plastic materials to timeless and long-lasting finishes like leather, metal… https://t.co/qIX2KpPi5H",,,2,7,,en
Gartner_inc,4/14/2020 13:30,1.25005E+18,"Join us at 11am ET for a free #webinar that explores #IT cost-cutting options, mission functions that IT and missio… https://t.co/MpgAUpm7wH","Join us at 11am ET for a free #webinar that explores #IT cost-cutting options, mission functions that IT and missio… https://t.co/MpgAUpm7wH",,,3,7,,en
AmerenCorp,3/9/2020 13:30,1.23701E+18,"We're proud to be a @GPTW_US -Certified company for the 4th year in a row! When asked why, co-workers mentioned our… https://t.co/kfzrP1Y6Yn","We're proud to be a @GPTW_US -Certified company for the 4th year in a row! When asked why, co-workers mentioned our… https://t.co/kfzrP1Y6Yn",,,1,7,,en
WasteManagement,4/28/2020 19:01,1.25521E+18,This is our favorite birthday theme. Thank you for sharing! https://t.co/jHVMtA2oGD,This is our favorite birthday theme. Thank you for sharing! https://t.co/jHVMtA2oGD,,,2,22,,en
Paychex,6/10/2020 12:00,1.27069E+18,Listen to how the owner of Clutch Kitchen and Sports Bar turned 30 seconds into the PPP loan he needed to stay aflo… https://t.co/lh3ftzGSeC,Listen to how the owner of Clutch Kitchen and Sports Bar turned 30 seconds into the PPP loan he needed to stay aflo… https://t.co/lh3ftzGSeC,,,1,7,,en
DTE_Energy,4/9/2020 21:15,1.24836E+18,We are continuing to monitor the weather and have crews on standby to work quickly and safely to restore power if n… https://t.co/i7iX69i16D,We are continuing to monitor the weather and have crews on standby to work quickly and safely to restore power if n… https://t.co/i7iX69i16D,,,1,3,,en
amazon,2/3/2020 2:30,1.22416E+18,"Alexa, play @TheEllenShow's favorite song.

No, really, ask her 😉 #BeforeAlexa https://t.co/wbmFfO37jK","Alexa, play @TheEllenShow's favorite song.

No, really, ask her 😉 #BeforeAlexa https://t.co/wbmFfO37jK",,,37,249,,en
ComericaBank,4/24/2020 16:32,1.25372E+18,"Happy #TeachChildrenToSaveDay! 💵 At Comerica Bank, we’re committed to starting financial lessons early. We took the… https://t.co/DdhkluPCk8","Happy #TeachChildrenToSaveDay! 💵 At Comerica Bank, we’re committed to starting financial lessons early. We took the… https://t.co/DdhkluPCk8",,,0,2,,en
JuniperNetworks,3/8/2020 17:05,1.2367E+18,"With SecIntel for @MistSystems and encrypted traffic analysis, users can better secure network traffic across the c… https://t.co/tJy8ZOUzWz","With SecIntel for @MistSystems and encrypted traffic analysis, users can better secure network traffic across the c… https://t.co/tJy8ZOUzWz",,,3,10,,en
ProcterGamble,4/22/2020 14:00,1.25296E+18,Our water experts Shannon Quinn &amp; Kate Brown have water conservation advice — without sacrificing safety. Watch the… https://t.co/x1RSFppdnm,Our water experts Shannon Quinn &amp; Kate Brown have water conservation advice — without sacrificing safety. Watch the… https://t.co/x1RSFppdnm,,,5,13,,en
CloroxCo,2/14/2020 17:30,1.22837E+18,How do we love thee? Let our employees count the ways ... #HappyValentinesDay https://t.co/N8IHeeRtej,How do we love thee? Let our employees count the ways ... #HappyValentinesDay https://t.co/N8IHeeRtej,,,0,1,,en
Kohls,1/14/2020 17:12,1.21713E+18,Feeling lucky? Visit https://t.co/Y72ydF5snx each month and select your local Kohl’s store for the chance to win! N… https://t.co/Mr4Ajkw19e,Feeling lucky? Visit https://t.co/Y72ydF5snx each month and select your local Kohl’s store for the chance to win! N… https://t.co/Mr4Ajkw19e,,,68,261,,en
Nasdaq,6/10/2020 13:13,1.27071E+18,Here’s to a season filled with learning how to #RewriteTomorrow. Welcome to our interns around the globe! https://t.co/ARMp0JQAxC,Here’s to a season filled with learning how to #RewriteTomorrow. Welcome to our interns around the globe! https://t.co/ARMp0JQAxC,,,7,22,,en
